label,speaker,take,id
5,nicolas,9,5_nicolas_9.wav
3,yweweler,14,3_yweweler_14.wav
1,lucas,5,1_lucas_5.wav
2,george,44,2_george_44.wav
4,yweweler,38,4_yweweler_38.wav
3,yweweler,28,3_yweweler_28.wav
4,yweweler,10,4_yweweler_10.wav
3,george,1,3_george_1.wav
1,nicolas,15,1_nicolas_15.wav
1,jackson,42,1_jackson_42.wav
0,theo,46,0_theo_46.wav
6,lucas,9,6_lucas_9.wav
5,nicolas,48,5_nicolas_48.wav
9,jackson,43,9_jackson_43.wav
9,nicolas,14,9_nicolas_14.wav
4,nicolas,7,4_nicolas_7.wav
1,nicolas,29,1_nicolas_29.wav
4,jackson,0,4_jackson_0.wav
1,lucas,43,1_lucas_43.wav
5,jackson,23,5_jackson_23.wav
7,george,9,7_george_9.wav
9,nicolas,28,9_nicolas_28.wav
5,jackson,37,5_jackson_37.wav
2,jackson,20,2_jackson_20.wav
2,jackson,34,2_jackson_34.wav
7,yweweler,41,7_yweweler_41.wav
4,theo,11,4_theo_11.wav
7,nicolas,2,7_nicolas_2.wav
6,jackson,41,6_jackson_41.wav
6,nicolas,16,6_nicolas_16.wav
9,lucas,17,9_lucas_17.wav
4,theo,39,4_theo_39.wav
9,theo,45,9_theo_45.wav
7,jackson,5,7_jackson_5.wav
9,yweweler,32,9_yweweler_32.wav
9,yweweler,26,9_yweweler_26.wav
7,theo,5,7_theo_5.wav
6,yweweler,8,6_yweweler_8.wav
4,george,1,4_george_1.wav
0,yweweler,45,0_yweweler_45.wav
1,george,41,1_george_41.wav
6,lucas,43,6_lucas_43.wav
3,theo,35,3_theo_35.wav
0,george,9,0_george_9.wav
8,lucas,6,8_lucas_6.wav
3,theo,21,3_theo_21.wav
6,george,45,6_george_45.wav
6,theo,30,6_theo_30.wav
1,nicolas,8,1_nicolas_8.wav
6,theo,24,6_theo_24.wav
5,yweweler,49,5_yweweler_49.wav
2,george,6,2_george_6.wav
8,george,37,8_george_37.wav
8,george,23,8_george_23.wav
6,theo,18,6_theo_18.wav
4,jackson,33,4_jackson_33.wav
0,nicolas,6,0_nicolas_6.wav
0,nicolas,39,0_nicolas_39.wav
9,george,11,9_george_11.wav
1,theo,28,1_theo_28.wav
4,jackson,27,4_jackson_27.wav
8,nicolas,38,8_nicolas_38.wav
8,nicolas,10,8_nicolas_10.wav
8,jackson,47,8_jackson_47.wav
0,lucas,44,0_lucas_44.wav
0,jackson,46,0_jackson_46.wav
0,nicolas,11,0_nicolas_11.wav
9,george,39,9_george_39.wav
0,jackson,1,0_jackson_1.wav
1,theo,14,1_theo_14.wav
6,yweweler,24,6_yweweler_24.wav
8,lucas,38,8_lucas_38.wav
3,nicolas,3,3_nicolas_3.wav
7,nicolas,12,7_nicolas_12.wav
7,jackson,45,7_jackson_45.wav
8,theo,17,8_theo_17.wav
6,yweweler,30,6_yweweler_30.wav
3,jackson,18,3_jackson_18.wav
5,theo,43,5_theo_43.wav
1,yweweler,20,1_yweweler_20.wav
6,yweweler,18,6_yweweler_18.wav
3,jackson,30,3_jackson_30.wav
8,yweweler,43,8_yweweler_43.wav
5,george,6,5_george_6.wav
3,jackson,24,3_jackson_24.wav
3,jackson,4,3_jackson_4.wav
8,lucas,10,8_lucas_10.wav
1,yweweler,34,1_yweweler_34.wav
5,george,40,5_george_40.wav
4,lucas,0,4_lucas_0.wav
2,theo,0,2_theo_0.wav
9,theo,8,9_theo_8.wav
7,lucas,44,7_lucas_44.wav
9,theo,9,9_theo_9.wav
2,theo,1,2_theo_1.wav
7,lucas,45,7_lucas_45.wav
4,lucas,1,4_lucas_1.wav
5,george,41,5_george_41.wav
1,yweweler,35,1_yweweler_35.wav
8,lucas,11,8_lucas_11.wav
3,jackson,5,3_jackson_5.wav
3,jackson,25,3_jackson_25.wav
3,jackson,31,3_jackson_31.wav
6,yweweler,19,6_yweweler_19.wav
1,yweweler,21,1_yweweler_21.wav
5,theo,42,5_theo_42.wav
5,george,7,5_george_7.wav
8,yweweler,42,8_yweweler_42.wav
7,jackson,44,7_jackson_44.wav
7,nicolas,13,7_nicolas_13.wav
3,jackson,19,3_jackson_19.wav
6,yweweler,31,6_yweweler_31.wav
8,theo,16,8_theo_16.wav
8,lucas,39,8_lucas_39.wav
6,yweweler,25,6_yweweler_25.wav
3,nicolas,2,3_nicolas_2.wav
9,george,38,9_george_38.wav
0,nicolas,10,0_nicolas_10.wav
0,jackson,47,0_jackson_47.wav
0,lucas,45,0_lucas_45.wav
1,theo,15,1_theo_15.wav
0,jackson,0,0_jackson_0.wav
