age,age_onset,birthplace,filename,native_language,sex,speakerid,country,file_missing?,,,
24,12,"koussi, senegal",balanta,balanta,male,788,senegal,TRUE,,,
18,10,"buea, cameroon",cameroon,cameroon,male,1953,cameroon,TRUE,,,
48,8,"hong, adamawa, nigeria",fulfulde,fulfulde,male,1037,nigeria,TRUE,,,
42,42,"port-au-prince, haiti",haitian,haitian,male,1165,haiti,TRUE,,,
40,35,"port-au-prince, haiti",haitian,haitian,male,1166,haiti,TRUE,,,
43,41,"port-au-prince, haiti",haitian,haitian,male,1167,haiti,TRUE,,,
21,21,"port-au-prince, haiti",haitian,haitian,male,1168,haiti,TRUE,,,
54,51,"port-au-prince, haiti",haitian,haitian,female,1169,haiti,TRUE,,,
18,16,"ouanaminthe, haiti",haitian,haitian,female,1866,haiti,TRUE,,,
73,5,"pepeekeo, hawai'i, usa",hawai'i,hawai'i,male,1675,usa,TRUE,,,
69,4,"pa'ia, hawai'i, usa",hawai'i,hawai'i,female,1676,usa,TRUE,,,
69,7,"cave valley, jamaica",jamaican,jamaican,male,967,jamaica,TRUE,,,
21,6,"kingston, jamaica",jamaican,jamaican,male,1540,jamaica,TRUE,,,
19,3,"montego bay, jamaica",jamaican,jamaican,female,1944,jamaica,TRUE,,,
28,14,"monrovia, liberia",liberian,liberian,female,1771,liberia,TRUE,,,
38,5,"monrovia, liberia",liberian,liberian,female,2141,liberia,TRUE,,,
50,16,"waspam, rio coco, nicaragua",nicaragua,nicaragua,male,2092,nicaragua,TRUE,,,
20,8,"bilwi, puerto cabezas, nicaragua",nicaragua,nicaragua,male,2095,nicaragua,TRUE,,,
37,24,"bilwi, puerto cabezas, nicaragua",nicaragua,nicaragua,male,2097,nicaragua,TRUE,,,
36,6,"polokwane, limpopo, south africa",northern,northern,female,1213,south africa,TRUE,,,
25,5,"jammu, kashmir, india",poonchi1,poonchi,male,425,india,TRUE,,,
28,11,"colombo, sri lanka",sinhalese2,sinhalese,female,318,sri lanka,TRUE,,,
25,8,"colombo, sri lanka",sinhalese3,sinhalese,female,461,sri lanka,TRUE,,,
40,15,"katunayake, sri lanka",sinhalese4,sinhalese,male,993,sri lanka,TRUE,,,
26,13,"colombo, sri lanka",sinhalese5,sinhalese,female,1789,sri lanka,TRUE,,,
21,10,"eischoll, switzerland",swiss,swiss,male,493,switzerland,TRUE,,,
42,14,"winterthur, switzerland",swiss,swiss,female,682,switzerland,TRUE,,,
30,13,"muri, aargau, switzerland",swiss,swiss,male,853,switzerland,TRUE,,,
24,14,"bern, switzerland",swiss,swiss,male,1485,switzerland,TRUE,,,
34,8,"uster, switzerland",swiss,swiss,male,1968,switzerland,TRUE,,,
37,25,"baucau, timor-leste",tetun-dili1,tetun-dili,female,1001,timor-leste,TRUE,,,
38,4,"madang, madang province, papua new guinea",tok,tok,male,380,papua new guinea,TRUE,,,
27,9,"virginia, south africa",afrikaans1,afrikaans,female,1,south africa,FALSE,,,
40,5,"pretoria, south africa",afrikaans2,afrikaans,male,2,south africa,FALSE,,,
43,4,"pretoria, transvaal, south africa",afrikaans3,afrikaans,male,418,south africa,FALSE,,,
26,8,"pretoria, south africa",afrikaans4,afrikaans,male,1159,south africa,FALSE,,,
19,6,"cape town, south africa",afrikaans5,afrikaans,male,1432,south africa,FALSE,,,
25,15,"diekabo, ivory coast",agni1,agni,male,3,ivory coast,FALSE,,,
41,5,"accra, ghana",akan1,akan,male,979,ghana,FALSE,,,
19,6,"prishtina, kosovo",albanian1,albanian,male,4,kosovo,FALSE,,,
33,15,"tirana, albania",albanian2,albanian,male,5,albania,FALSE,,,
44,35,"tirana, albania",albanian3,albanian,male,458,albania,FALSE,,,
33,28,"mitrovice, kosovo",albanian4,albanian,male,868,kosovo,FALSE,,,
31,11,"vlore, albania",albanian5,albanian,male,946,albania,FALSE,,,
